CountryCode,Country,Region,IncomeGroup,OECD
ABW,aruba,Latin America & Caribbean,High income,False
AFG,afghanistan,South Asia,Low income,False
AGO,angola,Sub-Saharan Africa,Lower middle income,False
ALB,albania,Europe & Central Asia,Upper middle income,False
AND,andorra,Europe & Central Asia,High income,False
ARE,united arab emirates,Middle East & North Africa,High income,False
ARG,argentina,Latin America & Caribbean,Upper middle income,False
ARM,armenia,Europe & Central Asia,Upper middle income,False
ASM,american samoa,East Asia & Pacific,Upper middle income,False
ATG,antigua and barbuda,Latin America & Caribbean,High income,False
AUS,australia,East Asia & Pacific,High income,True
AUT,austria,Europe & Central Asia,High income,True
AZE,azerbaijan,Europe & Central Asia,Upper middle income,False
BDI,burundi,Sub-Saharan Africa,Low income,False
BEL,belgium,Europe & Central Asia,High income,True
BEN,benin,Sub-Saharan Africa,Low income,False
BFA,burkina faso,Sub-Saharan Africa,Low income,False
BGD,bangladesh,South Asia,Lower middle income,False
BGR,bulgaria,Europe & Central Asia,Upper middle income,False
BHR,bahrain,Middle East & North Africa,High income,False
BHS,the bahamas,Latin America & Caribbean,High income,False
BIH,bosnia and herzegovina,Europe & Central Asia,Upper middle income,False
BLR,belarus,Europe & Central Asia,Upper middle income,False
BLZ,belize,Latin America & Caribbean,Upper middle income,False
BMU,bermuda,North America,High income,False
BOL,bolivia,Latin America & Caribbean,Lower middle income,False
BRA,brazil,Latin America & Caribbean,Upper middle income,False
BRB,barbados,Latin America & Caribbean,High income,False
BRN,brunei,East Asia & Pacific,High income,False
BTN,bhutan,South Asia,Lower middle income,False
BWA,botswana,Sub-Saharan Africa,Upper middle income,False
CAF,central african republic,Sub-Saharan Africa,Low income,False
CAN,canada,North America,High income,True
CHE,switzerland,Europe & Central Asia,High income,True
CHI,channel islands,Europe & Central Asia,High income,False
CHL,chile,Latin America & Caribbean,High income,True
CHN,china,East Asia & Pacific,Upper middle income,False
CIV,côte d'ivoire,Sub-Saharan Africa,Lower middle income,False
CMR,cameroon,Sub-Saharan Africa,Lower middle income,False
COD,dem. rep. congo,Sub-Saharan Africa,Low income,False
COG,congo,Sub-Saharan Africa,Lower middle income,False
COL,colombia,Latin America & Caribbean,Upper middle income,False
COM,comoros,Sub-Saharan Africa,Lower middle income,False
CPV,cabo verde,Sub-Saharan Africa,Lower middle income,False
CRI,costa rica,Latin America & Caribbean,Upper middle income,False
CUB,cuba,Latin America & Caribbean,Upper middle income,False
CUW,curaçao,Latin America & Caribbean,High income,False
CYM,cayman islands,Latin America & Caribbean,High income,False
CYP,cyprus,Europe & Central Asia,High income,False
CZE,czech republic,Europe & Central Asia,High income,True
DEU,germany,Europe & Central Asia,High income,True
DJI,djibouti,Middle East & North Africa,Lower middle income,False
DMA,dominica,Latin America & Caribbean,Upper middle income,False
DNK,denmark,Europe & Central Asia,High income,True
DOM,dominican republic,Latin America & Caribbean,Upper middle income,False
DZA,algeria,Middle East & North Africa,Upper middle income,False
ECU,ecuador,Latin America & Caribbean,Upper middle income,False
EGY,egypt,Middle East & North Africa,Lower middle income,False
ERI,eritrea,Sub-Saharan Africa,Low income,False
ESP,spain,Europe & Central Asia,High income,True
EST,estonia,Europe & Central Asia,High income,True
ETH,ethiopia,Sub-Saharan Africa,Low income,False
FIN,finland,Europe & Central Asia,High income,True
FJI,fiji,East Asia & Pacific,Upper middle income,False
FRA,france,Europe & Central Asia,High income,True
FRO,faroe islands,Europe & Central Asia,High income,False
FSM,micronesia,East Asia & Pacific,Lower middle income,False
GAB,gabon,Sub-Saharan Africa,Upper middle income,False
GBR,united kingdom,Europe & Central Asia,High income,True
GEO,georgia,Europe & Central Asia,Upper middle income,False
GHA,ghana,Sub-Saharan Africa,Lower middle income,False
GIB,gibraltar,Europe & Central Asia,High income,False
GIN,guinea,Sub-Saharan Africa,Low income,False
GMB,the gambia,Sub-Saharan Africa,Low income,False
GNB,guinea-bissau,Sub-Saharan Africa,Low income,False
